序号	商品名称	结果情感	评论内容	评论日期
1	【新品】好望水草本茶荷叶玉米须茶胎菊枸杞润茶无糖饮料420ml*6 	正面	好好好 	2023-03-01
2	【新品】好望水草本茶荷叶玉米须茶胎菊枸杞润茶无糖饮料420ml*6 	正面	很好喝 	2022-11-25
3	【新品】好望水草本茶荷叶玉米须茶胎菊枸杞润茶无糖饮料420ml*6 	正面	味道一般般但很解腻，有中药的味道 	2022-11-21
4	【新品】好望水草本茶荷叶玉米须茶胎菊枸杞润茶无糖饮料420ml*6 	正面	很好喝 	2022-11-16
5	【新品】好望水草本茶荷叶玉米须茶胎菊枸杞润茶无糖饮料420ml*6 	正面	喝了觉得好喝 回购的 	2022-11-10
6	【新品】好望水草本茶荷叶玉米须茶胎菊枸杞润茶无糖饮料420ml*6 	正面	挺好的 	2022-11-08
7	【新品】好望水草本茶荷叶玉米须茶胎菊枸杞润茶无糖饮料420ml*6 	正面	回购，在李佳琦直播间买的，后来自己买的28.21元6瓶……比李佳琦直播间买的还便宜，好喝好喝好喝 还给我送了一个杯子，爱了爱了  	2022-11-04
8	【新品】好望水草本茶荷叶玉米须茶胎菊枸杞润茶无糖饮料420ml*6 	正面	回购，在李佳琦直播间买的，后来自己买的52.41元12瓶……比李佳琦直播间买的还便宜，好喝好喝好喝 	2022-11-04
9	【新品】好望水草本茶荷叶玉米须茶胎菊枸杞润茶无糖饮料420ml*6 	正面	口味极其清淡，还不错 	2022-10-13
10	【新品】好望水草本茶荷叶玉米须茶胎菊枸杞润茶无糖饮料420ml*6 	正面	喝这款是在一家重庆菜店里送的，感觉不错。因之前喝过这家望山楂和望桃花，又看了配料表，所以购买3箱尝一尝。 问题也是有的，3箱都是混装的，这个你们店家以后要注意。 	2022-10-09
11	【新品】好望水草本茶荷叶玉米须茶胎菊枸杞润茶无糖饮料420ml*6 	正面	买气泡水时候看到的，口感不错也没有热量，很适合运动喝 	2022-10-07
12	【新品】好望水草本茶荷叶玉米须茶胎菊枸杞润茶无糖饮料420ml*6 	负面	开一个发票还要银行账户 真的第一次听说 是要盗账号还是要转钱？ 	2022-09-28
13	【新品】好望水草本茶荷叶玉米须茶胎菊枸杞润茶无糖饮料420ml*6 	负面	差评 	2022-09-28
14	【新品】好望水草本茶荷叶玉米须茶胎菊枸杞润茶无糖饮料420ml*6 	正面	好喝健康反复回购 很自然的甜 	2022-09-26
15	【新品】好望水草本茶荷叶玉米须茶胎菊枸杞润茶无糖饮料420ml*6 	正面	选的是季节限定款，收到的是常驻款，终究买晚一步。 	2022-09-15
16	【新品】好望水草本茶荷叶玉米须茶胎菊枸杞润茶无糖饮料420ml*6 	负面	口感味道：太难喝了！无敌难喝，说东方树叶难喝，但是比这个都好喝太多。 	2022-09-07
17	【新品】好望水草本茶荷叶玉米须茶胎菊枸杞润茶无糖饮料420ml*6 	正面	一直很喜欢喝，关键是健康。 	2022-09-07
18	【新品】好望水草本茶荷叶玉米须茶胎菊枸杞润茶无糖饮料420ml*6 	正面	吃完麻辣锅喝这个草本饮料很舒服?不错，很满意	2022-08-29
19	【新品】好望水草本茶荷叶玉米须茶胎菊枸杞润茶无糖饮料420ml*6 	正面	吃完麻辣锅喝这个草本饮料很舒服	2022-08-29
20	【新品】好望水草本茶荷叶玉米须茶胎菊枸杞润茶无糖饮料420ml*6 	负面	发错货了 而且玉米须茶不好喝 	2022-08-29
21	【新品】好望水草本茶荷叶玉米须茶胎菊枸杞润茶无糖饮料420ml*6 	正面	超喜欢 	2022-08-28
22	【新品】好望水草本茶荷叶玉米须茶胎菊枸杞润茶无糖饮料420ml*6 	正面	这个多次回购了，很喜欢 	2022-08-26
23	【新品】好望水草本茶荷叶玉米须茶胎菊枸杞润茶无糖饮料420ml*6 	正面	这个新出的草本茶果然没有让我失望，配料表干干净净，在这个末伏天让我喝出健康，吃辣的自热火锅配着冰镇草本茶看着电视，简直爽到飞起～  	2022-08-24
24	【新品】好望水草本茶荷叶玉米须茶胎菊枸杞润茶无糖饮料420ml*6 	正面	配料表干干净净，喝着放心，味道挺清新的，冰箱里冰一下更好喝 	2022-08-22
25	【新品】好望水草本茶荷叶玉米须茶胎菊枸杞润茶无糖饮料420ml*6 	正面	好喝，值得回购，夏天冰镇一下绝绝子！ 	2022-08-22
26	【新品】好望水草本茶荷叶玉米须茶胎菊枸杞润茶无糖饮料420ml*6 	正面	值得回购.口感清爽，夏天来一瓶解渴.配上火锅就更好啦 	2022-08-22
27	【新品】好望水草本茶荷叶玉米须茶胎菊枸杞润茶无糖饮料420ml*6 	正面	好 	2022-08-21
28	【新品】好望水草本茶荷叶玉米须茶胎菊枸杞润茶无糖饮料420ml*6 	正面	好喝哒，不错，夏日降暑解腻必备，很清甘，还会再回购的 	2022-08-20
29	【新品】好望水草本茶荷叶玉米须茶胎菊枸杞润茶无糖饮料420ml*6 	正面	"奔着无糖买了荷叶玉米须茶和胎菊枸杞茶，配料表超级干净。虽然是草本茶但是不会苦而且会回甘，夏天放冰箱冰一下再喝美滋滋。 "	2022-08-20
30	【新品】好望水草本茶荷叶玉米须茶胎菊枸杞润茶无糖饮料420ml*6 	正面	发货超快，期待好口味 	2022-08-20
