评论ID	品牌	结果情感	评论内容	评论日期
1208391215600	简爱酸奶	正面	ok	2023-05-15
19112140270	简爱酸奶	正面	宝宝一直喝简爱酸奶，送货速度超快，大品牌，值得信赖	2023-05-14
19112136097	简爱酸奶	正面	买了好多，冰箱都满了，给宝宝囤的话，每次一袋有助于消化，而且配料表干净，喝着放心，以后会一直喝这个牌子，有活动继续囤货，支持	2023-05-14
19112133575	简爱酸奶	正面	朋友推荐的，宝宝喝着肚子没有负担，而且容易吸收，跟超市买的一样，里面没有多余的添加剂，而且西梅还有助于消化，真的很不错，再来购买	2023-05-14
19112135838	简爱酸奶	正面	买的完了，这次活动又赶紧下单了	2023-05-14
19112134674	简爱酸奶	正面	味道不错，娃喜欢喝，喜欢	2023-05-14
19112123909	简爱酸奶	正面	朋友推荐的，这个酸奶很容易吸收，不会闹肚子	2023-05-14
19112072558	简爱酸奶	正面	还不错吧	2023-05-14
19112077579	简爱酸奶	正面	长期回购款，非常好，活动价买也划算	2023-05-14
19112069348	简爱酸奶	正面	经常给宝儿买的一款酸奶，营养健康好喝	2023-05-14
19112057826	简爱酸奶	正面	没有蔗糖，挺健康的，不会增加身体负担，在减肥期间吃这个也不怕热量过高，还有口感也不错，没有特别酸，经常做早餐吃，搭配鸡蛋蔬菜什么的，饱腹又健康。	2023-05-14
19112042875	简爱酸奶	正面	买了两盒，想着宝宝大了买了偏甜的，不过跟普通酸奶比还是会好很多，口感会略酸一点，刚开始还不是特别适应，后面一天炫两瓶，喜欢，下次有活动再来	2023-05-14
19112022699	简爱酸奶	正面	很好喝，甜度没那么特别甜，口感非常好	2023-05-14
19112025622	简爱酸奶	正面	无数次回购了，宝宝吃的爱喝	2023-05-14
19112024803	简爱酸奶	正面	宝宝非常爱喝，还会继续支持。	2023-05-14
19112015416	简爱酸奶	正面	宝宝唯一能吃的酸奶，0添加无蔗糖，味道也是没的说，可以放心大胆的给孩子喝。还有助于消化。京东买的品质有保障，日期都很新我，物流也给力。	2023-05-14
19112007657	简爱酸奶	正面	非常不错，价格合适，物流快	2023-05-14
19112014696	简爱酸奶	正面	我家宝宝每天一袋。无糖，好喝，品质好放心。	2023-05-14
19111999020	简爱酸奶	正面	还行哦 发货挺快的 顺丰冷链物流	2023-05-14
19111973410	简爱酸奶	正面	买了2个不同的口味，一个原味，一个西梅苹果口味。孩子都喜欢喝，关键0蔗糖，也不用担心糖分摄入太多。西梅苹果的稍微比原味甜一点点。	2023-05-14
19111968819	简爱酸奶	负面	日期不好，不如在超市买的	2023-05-14
19111979234	简爱酸奶	负面	日期不好	2023-05-14
19111972913	简爱酸奶	正面	宝宝特别喜欢喝的酸奶	2023-05-14
19111973990	简爱酸奶	正面	这款酸奶很好，口感纯净，没有添加香精	2023-05-14
19111967939	简爱酸奶	负面	日期不是很新鲜	2023-05-14
19111969537	简爱酸奶	正面	怎么说呢，很多人都说我是个挑剔的人，慢慢的我也发现我确实很挑剔，虽然我真的挑剔，但还是认为这次购物非常满意，我也非常开心，给个好评，希望你们越做越好	2023-05-14
19111967987	简爱酸奶	正面	怎么说呢，很多人都说我是个挑剔的人，慢慢的我也发现我确实很挑剔，虽然我真的挑剔，但还是认为这次购物非常满意，我也非常开心，给个好评，希望你们越做越好	2023-05-14
19111962290	简爱酸奶	正面	用最简单的配方，大于98%生牛乳，乳清蛋白粉，乳酸菌制作的父爱配方，健康安全。而且还是0蔗糖的，也不怕孩子多喝。天气热了，酸牛奶喝起来。	2023-05-14
19111957979	简爱酸奶	正面	还不错，比较稀挺好喝，每天两杯很快就能消灭掉，送来有泡沫箱跟冰袋，日期也很好，多快好省。会回购。	2023-05-14
19111922020	简爱酸奶	正面	减肥人的**	2023-05-14
19111919733	简爱酸奶	正面	发货及时，质量稳定，无糖适合小朋友	2023-05-14
19111911772	简爱酸奶	正面	给周围所有人安利了这款酸奶，已经成了宝宝的奖励品！	2023-05-14
19111908816	简爱酸奶	正面	是宝宝爱喝的酸奶，每次买回来都闹着要喝，他很喜欢！	2023-05-14
19111852678	简爱酸奶	正面	一直给孩子喝这个牌子的酸奶  还有喜欢喝  健康有营养	2023-05-14
19111839801	简爱酸奶	正面	新鲜好味，配料表简单，纯纯的，很满意的一次购物经历，活动价性价比高，分分钟发货，包装完美，物流飞速，到货及时，满意回购。质量和品质都有保障，方便快捷，好物多做活动，推荐。	2023-05-14
19111823048	简爱酸奶	正面	媳妇怀孕了，需要这个没有别的添加的酸奶，这个正好合适，酸奶味道不错，两天全部喝掉，酸奶送过来冰袋包装很好，很不错。	2023-05-14
19111815353	简爱酸奶	正面	经常买，这个品牌。小宝爱吃	2023-05-14
19111805733	简爱酸奶	正面	很好喝的酸奶，俩小家伙超级喜欢喝，喝完再来买	2023-05-14
19111809568	简爱酸奶	正面	小宝一直喝，我们经常买。	2023-05-14
19111771002	简爱酸奶	正面	宝宝很爱喝  一直都是买他们家的	2023-05-14
19111758515	简爱酸奶	正面	非常满意?，材质做工非常好，而且百搭，手感也很棒，非常nice，实用性非常强，赞?是正品，和实体店一样，价格还优惠，果断转粉	2023-05-14
