web-scraper-order	content	like	collection	comment	com1	com2	com3	com4	com5
1681275748-1	"新奇体验+1
蒙古锅茶打卡成功
第一次内蒙菜，特别好奇，菜单上好多内容都是之前没见过的。但奈何去了两次都是和三个朋友一起，胃口不够，建议大家多带点朋放开肚子一起吃！
首先装修很有大草原的感觉，也有驻唱，氛围不错，门口也能停车。

巴盟烩菜????????
这个是很推荐的一道菜，我特别喜欢吃酸菜，里面有酸菜、软烂的土豆和五花肉，真的很下饭，简直是碳水开会??

蒙古锅茶??????????
不必说了，就冲这个茶来的，里面配料众多，奶茶微微咸口，但不明显。回味有点上头，还是很醇厚的。里面小果条不错，脆脆的，奶皮子可能会有朋友吃不惯，和我们平日里想象的奶味浓郁的预期不同，相对来说是很有嚼劲、奶香足但口味淡的感觉。

锅包肉????????
绝了！比起东北锅包肉，我觉得赤峰锅包肉更得我心，是酥脆的那种，薄薄一层，有强烈的酸感。
但是小伙伴觉得太硬了，所以大家见仁见智，我是比较好酸咸口的

配上大窑嘉宾和红柳烤肉，周末的开心聚餐这不就来了！

??地址：解放南路65号赛罕塔拉草原羊餐厅"	2	1	0					
1681275751-2	"二刷咯

【锅包肉】我觉得是我目前吃过很喜欢的 外皮脆脆的 酸甜口接受度也很高

【一锅出】是朋友推荐的 饼子的口感像是馒头 我妈比较爱 里面是豆角 土豆 糯玉米和鸡肉  土豆特别绵软 玉米超级香的 就是吃多了真的很咸

【炒野菜】忘记叫什么名字了 我妈一定要点的 就是新鲜的蕨菜 还不错吧 解腻 就是一份不太值38

【大窑嘉宾】橘子味的汽水！好喝"	10+	6	10+	位置在哪呀宝	啊啊我笔记也发了这家 真的是我的最爱的一家	锅包肉我的最爱		
1681275753-3	"@吃货薯

了解到@不如咖啡BuRucoffee 是通过今年在呼市第二波疫情期间的一个视频，不如咖啡的主理人联合呼市的多家精品咖啡，为在疫情期间工作在一线的社区工作人员送咖啡。这种大家凝聚起来的感觉真的很好。

同时也反映了呼市精品咖啡的一个特点，呼市的精品咖啡大多数店的面积都不是特别大，并且位于社区街边居多，除了一些远距离的忠实拥趸，附近社区的居民可能会是一个店比较重要的客户群。

稍微了解一下发现，不如咖啡也是呼市比较有历史的精品咖啡店了，也有近8年的时间。今年也开了第二家店，选在了东万达，在松山刺青的一楼。

这次我先去了在大学东路的亚辰店。看到那抹绿色，就到了不如了。绿色给人充满生机的感觉。不如咖啡有很多创意咖啡的选择。我们当天喝了日悬。很简单的组合：大窑嘉宾、鲜榨柠檬汁喝浓缩咖啡。大窑就是呼市人从小喝到大的汽水儿，这么组合后我起了个新的名字：激爽。真的是太爽了。柠檬汁的加入使点睛之笔，减低了甜感，增加了爽感。真的是非常夏日了。之后有机会，要尝尝其他特调。

离开呼市的当天上午去了一下东万达店，我去太早了，店开门了，但咖啡店还没正式营业（中午12点开始营业）。这里要提醒大家一点，在呼市精品咖啡的营业开始时间相对都会晚一些，有一些是下午2、3点才开门，并且有的店有店休，或者老板任性，今天不开门了，去之前要看好，如果路远的话，最好提前打电话问一下。

松山店是一个植物、咖啡和刺青的集合店，咖啡在一楼。环境非常有特点，挑高比较高，在书法和植物的环境中。松山店的咖啡选择要比亚辰店稍微少一点，下次有机会来坐一坐。"	10+	10+	4	离得也近，欢迎有空再来哦，把我们描述的这么全面，真心谢谢呀	感谢推荐！			
1681275755-4	#简简酱酱#咖啡#牛奶#朝日唯品#大窑嘉宾#SOACAI#Nobrand#杂粮饭#燕麦米#三色藜麦#F5咖啡#连咖啡#百乐顺饼干#瑞士莲巧克力#巧克力	2	0	0					
1681275758-5		2	0	2	两个人吃了??120！	去大西北就是大口喝酒大口吃肉，太爽了！			
1681275760-6	"编辑完就感觉并没有那么好味了
没有想吃第二次的冲动
最近喝 上头的很
所谓的 DDDD"	4	1	0					
1681275763-7	骑车路过凤台县 在路上吃了有生以来第一个博杨六摇 非常好吃 是安徽这面具有代表性的小瓜瓜 哈哈 来到了蒙城 阿妹的出生地 非常有生活气息的小城 我到市中心老城附近刚好是放学时间 学生非常的多 吃的也非常多 到处都是人 我先去的万佛塔 本来看上了万佛塔旁边的胡闯鱼粉店想在上面搭帐篷露营 旁边正对着万佛塔 还遇到住在塔边的好心大姐 怕我找不到 热情的带我去吃她推荐的馄饨 还发现了一种汽水 大窑嘉宾 哈哈 晚上露营森林公园附近的草坪上看星星	0	0	0					
1681275765-8	"夏天来啦、快囤起来啦！
偶然在一家餐馆看到这个酷似啤酒的果味汽水！名叫大窑嘉宾！有橙子味道和“绿色”味道！哈哈哈哈、我不知道绿色具体什么味道、但我更偏爱绿色！大窑橙诺跟健力宝、北冰洋、芬达味道差不多！
有瓶装，罐装、瓶装看着更接地气、更有市井气息、女孩子去超市刷的时候一定要带一个不透明袋子、??、不然会被误会成“饮酒少女”……"	5	4	0					
1681275767-9	你们还记得自己家乡特产饮料是什么吗？	10+	10+	7	第一第一，汉斯小木屋河南这边也有	大窑东北烧烤店里基本都有	王哈哈		
1681275771-10	"六天五夜人均5300左右吧，吃吃吃吃，拍照拍照拍照拍照，行程不慌不忙。

来交作业啦！"	2	2	1	遇到的每个东北人都好好！感恩！				
