门店名称,评论内容,评论日期
Seesaw Coffee(成都大悦城店),"第一次来大悦城这家seesaw，
从硬件到产品都是叙利亚风。

只想喝一杯美式，或者尝试他们家的其它特色。
点单的妹妹很热情的介绍了一番，但是最后听错了给我点错了单，发现后很快处理了。
点了一杯普通热美式，我主动问还有没有别的豆子选择，才说了有SOE埃塞豆子。口味还行，略偏酸。无功无过。

[服务铃]服务:
妹妹服务态度没问题，只是这家店的产品太单薄，作为精品咖啡店，没有手冲。只有基础款的咖啡和一些当季的桃花拿铁之类的奶咖。

[薄荷]环境:
店面目测只有40平，大悦城一号门，丝芙兰对面。作为门神位，满满的叙利亚风，太过于简单（简陋）。几乎没有任何软装，和周边。蛋糕也很少。

作为seesaw进入成都的双首店之一，不得不说，这家店，有点让人失望。

听说今年还要再开三家店，希望国内精品咖啡连锁，新店能够有更多新意，创意和诚意。",2022-04-30
Seesaw Coffee(深圳华润万象天地店),"真的是老客户，搬家之后好久没来了
今天过来发现门店挪动了一点，找不到于是打了商家电话
“喂seasaw吗，你们搬到哪了呀”
“……” 挂了，秒挂
没办法约了朋友在这碰面所以还是找了过来
一个男生问我 要点什么 我说我坐一会
他给我一种很戒备的感觉，拦着我，问我 “你…待会是有朋友过来是吗”
我说是，放我进来坐
那……我一个人难道就不能坐会吗
不是，你们搁这……拽啥呢？！！",2022-04-30
Seesaw Coffee(北京融新科技中心店),"[薄荷]环境：就在公司附近，除了来广营地铁口右拐就是，因为在融新一层大堂，上班族经常光顾。
忘了自己点的是燕麦的哪一款了可是是澳白，不太好喝，咖啡豆不是我喜欢的味道，我终究是放弃燕麦奶了…整体价格偏高，虽然外卖性价比会高一些，但是我觉得没有边上Tims，瑞幸和星巴克好喝，也就尝个鲜。",2022-04-30
Seesaw Coffee(武商MALL·武广店),"前段时间开业大火的🌸seasaw☕️，听说排队1.2小时，结果……并没有人。小程序点单后，就在外摆区等待，不知道为什么，磨磨蹭蹭，好久才拿到咖啡，哎。

「江城樱花拿铁」招牌特饮，一口送走我，是谁说这个超级好喝？来，出来挨打，下面应该是用的燕麦奶，一股浓浓的大豆味，感觉有点豆浆味道。
然后，我买这个难道不是为了分层好看，店员直接给我搅拌了……整个无语。",2022-04-30
Seesaw Coffee(武商MALL·武广店),"打卡seesaw，很失望，不该赶这热闹的。
​新店，因为疫情，没有上手冲，全是奶咖和美式，人多，吵，乱，手机点单比排队慢。忙起来奶咖都不拉花了，名字好听，贵，风味…我自己不会调嘛？看了一下购买历史，在上海深圳我都只是喝的手冲，没喝过奶咖…",2022-04-29
Seesaw Coffee(北京西红门荟聚店),不好喝，太甜太腻了，品质不太好，喝完有点头疼,2022-04-28
Seesaw Coffee(成都摩方店),感觉踩雷了，不太好喝，没有香味，有点失望,2022-04-27
Seesaw Coffee(武商MALL·武广店),味道匹配不上价格,2022-04-26
Seesaw Coffee(北京通州万达店),挺一般，没什么人气还挺贵，真心没有星巴克值当。不怎么好喝,2022-04-25
Seesaw Coffee(北京朝阳大悦城店),"在朝阳大悦城最上面吧，周末在同楼层吃完饭来这买咖啡外带出去散步。
这家店好像一个小岛，需要步行过石头步阶，然后进入丛林咖啡馆。远眺远处有一种身处海上的感觉。盛开的满树繁花也很应景。可怜的城市人是有多么向往自然啊。
咖啡味道可以，没毛病
就是人实在是太太多了，唯一想到的场景就是适合跟朋友简单交谈。商务和自习都不适用。或者来参观一下设计理念。总之自己去的话是不会再去了[破涕为笑]",2022-04-25
Seesaw Coffee(武商MALL·武广店),真的不怎么样，也不是很干净，跟香氛店在一起，怪怪的。点的冰美式，像中药，完全不好喝，入口的第一感觉是想找他退钱。,2022-04-24
Seesaw Coffee(重庆星光68店),"说实话略失望[擦汗]

这个价位能选择的咖啡还是蛮多了
杯量ok  浓度也ok  味道却很普通

「繁星桂花拿铁」
刚入口有淡淡桂花香味袭来
后半段就荡然无存了
豆子的风味感受不到
燕麦奶的味道占了上风
咖啡 奶 和桂花风味各自绽放
没有层次和融合一说
我算是比较爱喝特调咖啡的
但是这一款真的不推荐",2022-04-23
Seesaw Coffee(重庆万象城店),「大可颂」确实比较大一只 可惜不好吃[难过]一点点黄油的香气都没有 比较顶饱但是也就饱腹的作用而已 不推荐不回购「冰美式」单品豆偏酸 有些淡（我是怎么了 又觉得淡[晕]）也爱不起来 所以没喝到一半就又点了其他家的咖啡续上了,2022-04-23
Seesaw Coffee(南京水游城店),点评真是不能信。兜了大半天好不容易找到，发现是个外卖为主的咖啡店，金属椅子坐起来像在受刑。口味也十分一般。,2022-04-23
Seesaw Coffee(中骏世界城店),seesaw的店普遍态度不好！这我是知道的！但不明白seesaw到底在拽什么！只有你一家咖啡？点了一单外卖结果全洒了…商家也不承认，半天不回复，打了电话他说他们盖子扣的很严，绝不会洒。你敢保证出去一万杯都一杯不洒么，不解决，只给退款，退款就是解决问题的万能法宝？你以为退款别人就开心了吗？我花了二十分钟点了外卖就是让你给我退款？你有本事让时光倒流我不点你家的！不管是你的问题还是骑手的问题，即使你给我补送，也已经耽误了我很多时间了，结果还根本不给补送！本来应该吃的饭结果耽误了3个小时还没吃上你生气不生气？态度真是奇差，现在经济这样你还敢这样对待顾客，一个服务员的问题反映的是整个团队培训不到位的问题…你以为你咖啡比别家好喝多少？现在竞争的不就是服务么？我以后不会再买所有seesaw店的咖啡…这件事今天已经过去三天了，我想起来还是很生气…本来不想发的，还是要发！,2022-04-23
Seesaw Coffee(北京西红门荟聚店),很一般,2022-04-23
Seesaw Coffee(武商MALL·武广店),"[衰][衰][衰][衰][衰][衰]
反正这个价格 这个环境 我觉得真的打咩！
桌子整个很脏 桌子也不收拾一下 脏的要死
店子也不大 和旁边施丹兰是通的
整个环境就是一个闷热的要死！绝了！
口罩的大环境下空气也不怎么新鲜！
咖啡味道还可以 香气 层次还好
但是真的喝一次就可以了 ！反正挺失望吧！",2022-04-22
Seesaw Coffee(武商MALL·武广店),朋友说是和香氛牌子的联名店，里面有点怪怪的，咖啡店里还是别搞这么重的香氛味吧，咖啡闻起来都有香精感了，感觉不卫生呢,2022-04-22
Seesaw Coffee(武商MALL·武广店),"本来是对seesaw的特调咖啡很期待的
「栀子花梨香拿铁」太让人失望，栀子花和梨的味道都没有喝出来，连咖啡味都很寡淡的拿铁，它还要48一杯，隔壁28一杯的manner不香吗
店面装修环境也很一般，旁边的桌子从我们来到喝完走也没看到有人来收拾",2022-04-21
Seesaw Coffee(上海虹桥天地店),"seesaw每个季度都会推出新口味的咖啡
还会附赠一些gwp
这次是粉红的口罩 其实还挺可爱的
老实说这味道就差强人意了
特别是这个樱花季的蛋糕真的太难吃了
外面是硬奶油（小时候那种的感觉）
里面也是硬的
挖了一口我就吃不下第二口了
如果买套餐的朋友们
记得还是选提拉米苏蛋糕比较好吃
希望seesaw以后花里胡哨少一点
不要光注意颜值和赠品
还是口感第一最重要呀",2022-04-21
Seesaw Coffee(北京东方广场店),看外卖菜单点时 ，是图一的包装，实际拿到手的是图二。看起来我还是不配拥有吖,2022-04-21
