序号	门店名称	评论内容	评论日期
1	Seesaw Coffee(北京枫蓝国际购物中心店)	藤椒鸡全麦卷太难吃，里面基本没有鸡肉，都是土豆胡萝卜，而且非常辣，酱也不好吃，不建议购买	2023-04-30
2	Seesaw Coffee(深圳壹方城店)	第一次去seesaw的线下门店，门店装修很ins风，周末店里人不多，比较安静，可以作为办公空间，点了一杯栀子花拿铁，感觉味道一般，栀子花好像是干花，渣渣感觉比较强，喝一口总要吐几口花出来，体验感不好，性价比也不高[撇嘴]	2023-04-30
3	Seesaw Coffee(上海思南公馆店)	老板，牌子可以换啦，你叫别人到底是推还是拉？	2023-04-30
4	Seesaw Coffee(上海七宝万科店)	没有人吐槽中杯杯型和杯托的匹配么？热美式烫的要死，杯托不适配，拿在手里又烫又不能喝，简直无从下口	2023-04-29
5	Seesaw Coffee(世博源店)	卖完的东西就下架呀，顾客还在点，东西么没有了，说都不说的，还要被迫换别的，只能直接退掉，关键是还要自己去问的，这服务[emoji]	2023-04-29
6	Seesaw Coffee(上海世纪汇店)	搞活动是不错的，但是店员态度能不能好一点，把凶巴巴写在脸上啊，非常粗鲁暴躁，你怎么知道顾客平时不是消费群体呢！非常败好感  不像正规培训的店。	2023-04-28
7	Seesaw Coffee(成都摩方店)	"虽然对seesaw和pidan都很有好感 但薄荷味的新品实在是一言难尽……
服务一般 装修挺好看的"	2023-04-28
8	Seesaw Coffee(深圳壹方城店)	"经常看到别人喝seesaw 很好奇出品如何
在壹方城闲逛看到有店 来点了一杯两杯喝的
价格还是偏高的 原本以为是像manner那种价格的
店面积不大 周末下午坐满了人 体验感一般般
饮品也没有特别出色 性价比不算太高
看过别人发的热饮有拉花 我的这杯一打开啥都没[大哭]
略微有点失望"	2023-04-28
9	Seesaw Coffee(北京融新科技中心店)	点单没人搭理，站了半天店员像失明了一样	2023-04-28
10	Seesaw Coffee(杭州天目里店)	"价格算高，但味道不出彩。
感觉还是回归普通拿铁。"	2023-04-27
11	Seesaw Coffee(深圳壹方城店)	取餐能不能核实一下？好不容易来喝，取餐说不是seesaw的不给取？核对清楚再说好吧没必要为了一杯咖啡拿别人的	2023-04-27
12	Seesaw Coffee(上海芮欧店)	"标杯拿铁 换燕麦奶
seesaw的口味其实还可以的
但感觉营销没做好 淹没在了一众品牌里"	2023-04-27
13	Seesaw Coffee(上海田子坊店)	人手不够，活动组织混乱，乱插队，不安号码拿咖啡，猫粮随手拿，也没人管，被插队5个人，有点生气	2023-04-27
14	Seesaw Coffee(上海南翔印象城店)	我基本上点的都是它家无糖抹茶燕麦拿铁，昨天九点左右去店里点了一杯去冰的，里面长头发双马尾染紫色的小姑娘给我做不按照正常流程制作、不用称去计算抹茶的克数和水的分量，最后不够往饮品里面加燕麦奶，搞的最后我花了三十几元买了一杯燕麦奶都没喝出抹茶味，体验感非常不好。店里又没客人不忙，不知道急什么！钱知道收的	2023-04-27
15	Seesaw Coffee(北京通州万达店)	"万达地下，比较好找。
「冰美式」这可能是我喝过最淡的冰美式，感觉一般，不知道是烘焙的比较轻还是浓缩的浓度低，有些失望，本来是提神的，结果很没喝一样。
「低甜燕麦慕斯」蛋糕还不错，可以入一波，微贵，不过味道还不错，也可以堂食。"	2023-04-26
16	Seesaw Coffee(深圳壹方城店)	作为一个老顾客，我真的看着这家店出品越来越差，看着服务员倒了咖啡浓缩在杯子加水的时候不是慢慢注入的，而是狂冲，导致咖啡油脂全没了，所以不配我叫他咖啡师，很失望、早高峰也是、出单很慢很慢、真的可以做到一分钟一杯的，就在那里慢悠悠的、看着心累，跟着一群外卖的大哥一直等	2023-04-26
17	Seesaw Coffee(财富购物中心店)	"国贸附近的seesaw连堂食盘子都[emoji]?吗 麻了
之前去大悦城店环境没得挑
芝麻磅蛋糕和茉莉千层很好吃

今天和朋友吃完午饭想在附近吃个小甜品喝杯咖啡
蛋糕入口就无话可说的表情黑线
店员问是不是在这儿吃
结果拿来两个外带蛋糕盒子我就愣住
我问你们没有盘子吗
回答是暂时没有
蛋糕盒子拆开
撕外面那层透明膜的时候
咖啡可可脆蛋糕直接和纸托盘分离
可能是因为先吃了齁甜的see拉米saw
咖啡可可脆就显得很苦
这个see拉米saw的酒和糖、芝士比例感觉不太对
酒的味道太冲了而且奶油芝士太甜
咖啡可可脆可以理解为费列罗巧克力的口感
比提拉米苏好点有限
咖啡还是可以的
茉莉花拿铁还是好喝的
茶香很浓郁拿铁虽然也是外带被但还是给拉了花
希望甜品改善吧
不然以后真的不敢再点蛋糕了"	2023-04-25
18	Seesaw Coffee(北京融新科技中心店)	"服务态度极差！！这已经是第二次遇到的seesaw服务极差的店员了！男店员～
真的需要好好培训一下太差劲
[服务铃]服务：太差"	2023-04-25
19	Seesaw Coffee(重庆星光68店)	"疫情放开后第一次外出
[薄荷]环境：
因为疫情刚放开 所以是不能进店堂食的 前后门都紧闭 点餐只能在外扫码点餐 

[服务铃]服务：
点完餐就一直在门外干等 做好了也没有出来说一声 等半天才推开门进去问才发现已经做好很久了 
咖啡不做评价 记不到味道了 
点了个三明治 确实不尽人意 不说难吃吧 就是很普通而且不是现做的 价格又很贵 感觉不值"	2023-04-25
20	Seesaw Coffee(成都IFS店)	"这家店唯一的好处就是不排队
咖啡味道一般
服务态度不好
联名款可爱
仅此而已"	2023-04-24
21	Seesaw Coffee(上海嘉定中信泰富万达广场店)	要用电脑的别去了，全店没有一盒个插头，不适用与想在咖啡厅学习及工作人群	2023-04-23
22	Seesaw Coffee(上海七宝万科店)	踩了个雷，心想柠檬气泡水不都一样吗……居然是苦的，柠檬片也不是新鲜柠檬，干片，这一杯28[擦汗]	2023-04-23
23	Seesaw Coffee(上海百联世纪店)	"现场很忙，我都没有点到咖啡。
由于招行的券无法自助点单，想问问小哥招行的券怎么用 小哥哥超级不耐烦。
好吧，是我不好。打扰到了。"	2023-04-23
24	Seesaw Coffee(上海华润时代广场店)	选了sow 的拿铁为何还没有普通拿铁好喝，有点失望呢	2023-04-22
25	Seesaw Coffee(上海中信泰富Mall B1店)	seesaw家的真的是不好飲，糖漿味太濃了，齁死的甜。	2023-04-22
26	Seesaw Coffee(武汉万象城店)	"第二次去seesaw是不满意的
探索新品会变得不幸

「山茶茉莉Dirty」没有山茶花味也没有茉莉味，不是得体上面撒了干花就能叫茉莉得体啊喂

「焙茶桂花燕麦奶」也究极无敌难喝，奶怎么会难喝呀不懂，散发奇怪的草本味"	2023-04-22
27	Seesaw Coffee(石景山六工汇店)	附近闲逛尝试一下，性价比略低	2023-04-22
28	Seesaw Coffee(北京朝阳大悦城店)	咖啡真的一般，尤其这个元气美式，别点！！！千万别点！！！咖啡中的豆汁[大哭]	2023-04-22
29	Seesaw Coffee(北京双井富力广场店)	破烂杯盖 根本盖不严  烫的热美式 撒我一手 贼狼狈 垃圾体验 太差了！！！	2023-04-22
30	Seesaw Coffee(上海陆家嘴中心L+店)	这家在2楼，8点开业，周六9点半想去买杯咖啡，结果了陆家嘴中心的人说商场没开业，二楼不让去，所以这家在商场2楼开着，8点开业，10点之前不让去门店，这个是啥操作[擦汗][鄙视]	2023-04-22
31	Seesaw Coffee(杭州天目里店)	"咖啡不好喝
甜品也不好吃！"	2023-04-22
32	Seesaw Coffee(北京三里屯机电院店)	诶多……看起来阁下对于「二·次·元」の理解、似·乎·满·是·谬·误·哦☆～！嘛，连最为基本の「礼?义?廉?耻?」都早已失去了啊……?（笑）呐，我说啊——这样のkimino、也会有自称「二?次?元」の资格吗★？fufufu——说到底、阁下已经「二·次·元·失·格」了吧？呐~?	2023-04-21
33	Seesaw Coffee(苏州中心店)	价格较高 可能不会经常喝	2023-04-21
34	Seesaw Coffee(上海世纪汇店)	没见过这么差的seesaw店[开心]	2023-04-21
35	Seesaw Coffee(深圳壹方城店)	"[薄荷]环境：
门店挺大的，很干净卫生
[服务铃]服务：
出餐有点慢，等了挺久的，味道和想象中的稍微有点差别，同一个口味类型的桂花拿铁，另外一家咖啡店的调味更合我的个人口味[笑哭]
总体感觉性价比不算太高，味道一般，可能不会考虑了"	2023-04-20
36	Seesaw Coffee(北京丽泽天地店)	靠墙的椅子太硌后背了	2023-04-20
37	Seesaw Coffee(上海BFC外滩金融中心店)	环境一般，服务也一般，味道还可以	2023-04-20
